Battery_power_mAh,Bluetooh,Speed_of_microprocessor,Dual_sim,Front_camera,4G,Internal_memeory_gb,Mobile_depth,Mobile_weight,Cores_of_processor,Primary_camera,px_height,Pixel_width,Ram_mb,Screen_height,Screen_weight,talk_time,3G,touch_screen,wifi,price_range
-0.49513856507006043,1,0.5,1,0.0,1,53.0,7.0,136.0,3,6.0,0.5857779134312672,1.7044646757511204,0.4673170183062863,17.0,3.0,7,1,1,0,2
-1.5376864991634263,1,0.5,1,2.0,1,41.0,9.0,145.0,5,6.0,1.3926842168511246,1.0749682073199385,0.44149773621622473,11.0,2.0,9,1,1,0,2
-1.419318611449769,1,2.5,0,0.0,0,10.0,8.0,131.0,6,9.0,1.2867495904244954,1.2369709749309044,0.5945691943215896,16.0,8.0,11,1,0,0,2
1.3259058612938972,1,1.2,0,13.0,1,44.0,6.0,141.0,2,14.0,1.2687181646497498,-0.09145171947901598,-0.6576659870463955,8.0,2.0,15,1,1,0,1
1.4124054715461853,0,0.5,1,3.0,0,22.0,7.0,164.0,1,7.0,0.8089168073937417,0.9314800417216544,-0.9748743098671516,17.0,1.0,10,1,0,0,1
1.3259058612938972,0,1.7,0,4.0,1,10.0,8.0,139.0,8,10.0,-0.5952804748145578,-0.54043081828655,1.010444059415081,13.0,8.0,18,1,0,1,3
1.6286544971769052,0,0.5,1,0.0,0,24.0,8.0,187.0,4,0.0,-0.3000158777531015,-0.2372542103288853,-1.3132913286904584,16.0,3.0,5,1,1,1,0
0.47001498090283717,1,0.5,0,0.0,0,53.0,7.0,174.0,7,14.0,-0.5840108337053419,-0.9616380140750614,-0.9453665589070812,17.0,1.0,20,1,0,0,0
-1.6606069979429934,1,0.6,1,2.0,1,9.0,1.0,93.0,5,15.0,1.1086892608988843,-0.06367981645999325,-1.4857272483633694,19.0,10.0,12,1,0,0,0
0.6407378958744582,1,2.2,0,5.0,1,33.0,5.0,177.0,8,18.0,-1.1136839658384885,-0.570517046557158,1.569247093221413,14.0,9.0,13,1,1,1,3
1.3122480280961677,0,2.8,0,2.0,0,33.0,6.0,159.0,4,17.0,-0.08589269667799969,-1.1652986362145614,-0.5921956646037394,18.0,0.0,2,1,0,0,1
-0.991373171254239,1,2.1,0,7.0,0,17.0,10.0,198.0,4,11.0,-0.6786758190227553,0.4362144378824158,0.512500761963894,7.0,1.0,4,1,0,1,2
1.42833961027687,0,0.5,0,13.0,1,52.0,7.0,185.0,1,17.0,-0.6516286803606371,-1.5934488077578284,-1.614823658813677,14.0,9.0,3,1,0,1,0
-1.0551097261769775,0,1.0,0,3.0,0,46.0,7.0,159.0,2,16.0,0.48885899989201054,1.417488344554552,-1.4350108014007485,17.0,15.0,11,1,1,1,0
-0.9117024776008158,0,0.5,0,1.0,1,13.0,1.0,196.0,8,4.0,0.7638382429568782,1.385087791032359,1.318431210060815,10.0,9.0,19,1,0,1,3
-1.4648447221088678,0,0.9,1,7.0,1,23.0,1.0,121.0,3,17.0,-0.4600447815039671,-1.0218104706162774,1.5010104191262503,10.0,2.0,18,1,1,0,3
-0.24474495644501626,1,0.5,1,11.0,0,49.0,6.0,101.0,5,18.0,0.02905764263600236,-0.8644363535084818,-0.2666882868254634,19.0,13.0,16,1,1,0,1
-1.0619386427758424,0,1.1,1,12.0,0,39.0,8.0,81.0,7,14.0,1.5076345561651268,1.3943450920387,0.6406750551966995,17.0,15.0,3,1,1,0,3
